下半身に生暖かい感触を覚える。	하반신에 미지근한 감촉을 기억한다.
ま、まだ挿れたばかりなのに、はぐぅ……いやらしい声出る、んん、あぅう、ご主人様の感じるの、好きぃ……！	아, 아직 넣기만 했을뿐인데…… 야한 소리가 나와…… 주인님이 느껴져서 좋아……!
俺が動く度に、離したくないとばかりにペニスを締め付ける。	내가 움직일 때마다 떨어지고 싶지 않다는 듯이 페니스를 단단히 조인다.
そのまま、俺は抽送速度を速める事にした。	그대로 나는 삽입 속도를 높이기로 했다.
はぐぅ、やぁん！　は、激しい、もっと苛めてほしい、ご主人様、はぁはぁ、んんぅ！　太くて硬いので、たくさん……！	……겨, 격렬해, 좀 더 괴롭혀줘, 주인님, 하아하아……! 굵고 딱딱해서 잔뜩……!
ひゃぁん！　あぅ、ご主人様ぁ……！　お尻叩かれると、んく、我慢できない、はぁはぁ、小さな子供みたいにされて、んん～～～っ！	……주인님……! 엉덩이를 맞으면…… 못 참겠어, 하아하아, 어린애 같아……!
はぁ、んくぅん！　ご、ご主人様、はぁはぁ、お尻じんじんしてる、ぁああっ、はぅううう……！　苛められて、私ぃ！	하아……! 주, 주인님, 하아하아, 엉덩이 찌릿찌릿해……! 괴롭혀지고 있어, 나!
もっとしてほしい、中もお尻も、はぅう、んひぃいん！　お仕置きされるの、好きぃ、んんっ、ぁああっ、ご主人様ぁ！	좀 더 해줬으면 좋겠어, 안에도 엉덩이도……! 벌 받는 게 좋아…… 주인님!
わ、私、はぁはぁ、ご主人様に苛められるの好き、お尻叩かれるの好きぃ……！　んん、ぁあああっ！　もう身体熱くなってる……！	나, 나, 하아하아, 주인님에게 괴롭혀지는 걸 좋아해, 엉덩이 맞는 게 좋아……! 이제 몸이 뜨거워져……!
そうか、それならこのまま中に出すぞ。ちゃんと受け止めろよ。	그런가, 그럼 이대로 안에 싼다. 제대로 받아 들여라.
わかった、んくぅ、ひぃん！　中疼いて、私も蕩けそう……い、今出されたら、はぅう、苛められて頭真っ白になる、んぅううう！	알았어……! 안쪽이 달아올라서 나도 녹을 것 같아…… 지, 지금 나오면…… 괴롭혀져서 머리가 하얗게 돼……!
肉襞が擦れて、先端が膣の最奥に触れた瞬間、俺のペニスは限界を迎えた。	질벽을 지나서 끝부분이 질의 가장 안족에 닿은 순간, 나의 페니스는 한계를 맞이했다.
んんん～～～～～っ！？　ぁあああっ、ご、ご主人様ぁ、ひぐぅう、ぁあああああっ！	……주, 주인님……아아아아아앗!
肉襞が蠢いて、精液を絞り出していく。	질벽이 꿈틀거리며 정액을 짜내기 시작한다.
はぁ、あぅうう……！　まだ、身体疼いて……んんぅ、熱いの、たくさん出してくれて嬉しい、ご主人様……	하아……! 아직도 몸이 달아올라…… 뜨거운 걸 잔뜩 싸줘서 기뻐, 주인님……
あぁ、はぅん……も、もう抜くの……？　私、もっとご主人様とつながっていたいのに……	아아…… 버, 벌써 빼는 거야……? 나, 좀 더 주인님이랑 연결되어 있고 싶은데……
ああ、だけど続きはここじゃなくて場所を変えてからだよ。	아아, 그치만 다음은 여기가 아니고 장소를 바꾸고 나서야.
んぅ、わかった……あぅう……ご主人様のが零れる、んん、もったいない、せっかくのご主人様の精液が……	응, 알았어…… …… 주인님의 것이 흘러내려…… 아까워, 주인님의 정액이……
これからいくらでも出してあげるんだから、そんなに気にする必要はないよ。	지금부터 얼마든지 싸줄테니까 그렇게 신경쓸 필요 없어.
そう言いながら、俺はまだまだ滾るモノを感じていた。	그렇게 말하면서 나는 아직도 끓어오르는 물건을 느끼고 있었다.
気持ち良くまどろんでいると、下半身に何か違和感を覚えた。	기분 좋게 졸고 있으면, 하반신에 뭔가 위화감을 기억했다.
……あれ？　気持ちいい……？	…… 어? 기분이 좋아……?
ご主人様……ああっ、素敵です……。あっ……はぁ……ん。	주인님…… 아앗, 멋집니다……. 앗…… 하아…… 응.
あ……おはようございます……。その、ご主人様の……ここが、すごく硬くてぇ……んっ……。	아…… 안녕하세요……. 그, 주인님의…… 여기가, 굉장히 딱딱해서…… 읏…….
あの、このまま……、わたしに、させて、ください……、ご主人様ぁ……。	저, 이대로……, 나에게, 시켜, 주세요……, 주인님…….
はい……、んっ……ご主人様の為に、がんばり、ます……。	네……, 읏…… 주인님을 위해서(때문에), 노력하겠습, 니다…….
ひゃああ！！　やぁん……くぅん……	아!! (이)나…… 쿠응……
うぅ……その……はしたなかった、でしょうか……？	…… 그…… 상스러웠다, 입니까……?
えへへ……はい！　喜んでもらえて嬉しいです……。	네에에…… 네! 기뻐해 받을 수 있어 기쁩니다…….
……もしかして、次も期待していいのかな？	…… 혹시, 다음도 기대해도 좋은 걸까나?
は、はい……。ご主人様が望むなら、いつでも……。	응, 네……. 주인님이 바란다면, 언제라도…….
はぁ……はぁ……。その、失礼、します……。	후~…… 하아……. 그, 실례, 합니다…….
はぁ……ん、ちゅ……、んっ、んっ……、あ、ご主人、さまぁ……んちゅ……。	하아…… 응, 츄……, 읏, 읏……, 아, 주인, 님…… 츄…….
……んっ、ちゅ……、ごしゅりん、さまぁ……ひもち、いい……れすかぁ……？　んっ……れろっ……。	…… 읏, 츄……, 종류응, 님…… 히 가져, 좋은…… 인가……? 읏…… 날름…….
うっ……、ああ、気持ちいいよ……。	……, 아아, 기분이 좋아…….
んくっ……ちゅ……あ……うれしい……れす……。ごしゅりん、さまの……すきぃ……。	응구…… 츄…… 아…… 기뻐…………. 종류응, 님의…… 비어 있고…….
ん、んん……んくっ、はぁ……ご主人様の味がしますぅ……。	응, 응응…… 응쿳, 하아…… 주인님이 맛이 납니다아…….
はい……あの、満足していただけましたか……？	네…… 저, 만족해 받을 수 있었습니까……?
……ご主人様のうそつき。	…… 주인님의 거짓말쟁이.
はい……、わたしはご主人様のものですから……。いつでも、何度でもさせていただきます……。	네……, 나는 주인님의 것이기 때문에……. 언제라도, 몇 번이라도 하도록 해 받습니다…….
えへへ……今日はぁ、ご主人様にいっぱいしてもらえるんですね……？	에헤헤…… 오늘은 주인님에게 잔뜩 해 줄 수 있네요……?
んぅ～っ……そうなのでしょうか……わたし、いつも思っている事をそのまま言っているだけですよう……	으응…… 그런 걸까요…… 전 항상 생각하고 있는 걸 그대로 말하고 있을 뿐이에요……
そっか。	그런가.
あのぉ……ご、ご主人様ぁ……お部屋に行く前に……んぅっ……ちょっとだけ……え、えっちなこと、してくれませんか……？	그…… 주, 주인님…… 방에 가기 전에…… …… 조금만…… 야, 야한 일 해주시지 않을래요……?
もう少しで部屋なのに……？	조금 있으면 방인데……?
んぅ～っ……もう、待ちきれなくて……シャワーにはいるじかんだって……お、惜しいですぅ……	…… 이제 못 참겠어서…… 샤워하는 시간도…… 아, 아까워요……
しょうがないな、じゃあ……	어쩔 수 없네, 그럼……
んっ……はぁ、はぁ……ご主人様、ご主人様ぁ……ご主人様の手……あ、熱いですぅ……くぅうん……	…… 하아, 하아…… 주인님, 주인님…… 주인님의 손…… 뜨, 뜨거워요…… ……
……触るだけでいいかな？　俺の、欲しくならない？	…… 만지기만 해도 되려나? 나를, 갖고 싶지 않아?
あ、あううっ……その、すっごく欲しいですけど……えへへぇ……この後もしてくれるから……今は触るだけでいいです……	…… 그, 엄청 갖고 싶지만…… 에헤헤에…… 이 뒤에도 해주니까…… 지금은 만지는 것만으로도 좋아요……
あ、後で、んっ……お部屋で……わたしのえっちなアソコ……その、はぁ、はううっ……ご主人様のでいっぱい苛めてくださいね……？	다, 다음에…… 방에서…… 제 야한 거기…… 그, 하아…… 주인님의 것으로 잔뜩 괴롭혀 주세요……?
……んっ、しないですよう……逆です……んっ、イっちゃったら、はぁ、はううっ……ご主人様にもっとしてほしいなっておもいますぅ……	…… 그렇지 않아요…… 반대에요…… 가 버리면, 하아…… 주인님이 좀 더 해 줬으면 좋겠다고 생각해요……
はぁ、はううっ！　はぁ、はぁっ、ご主人様ぁ、んぅっ、お、おと、しちゃってますねっ……はぁ、はぁ、ぬれてるから……！	하아………… 주인님…… 소, 소리, 나고 있네요…… 하아, 하아, 젖고 있으니까……!
……どんな音がなってるのかな？	…… 어떤 소리가 되어 있는 걸까?
あっ……ひぃっ！　あう、あの……！　くちゅくちゅって、なってます、アソコ、ご主人様にくちゅくちゅされてぇ、とろとろのえっちなの、たれてきてます……！	…… …… 질척질척하게 되어 있어요, 저기, 주인님에게 질척질척하게 돼서, 끈적끈적하고 야한 걸, 축 늘어뜨리고 있어요……!
