いけないメイドには、お仕置きしないといけないな……	못난 메이드에게는 벌을 주지 않으면 안되겠지……
そうなんだ……。そこまで想われてるなんて、ご主人様冥利に尽きるな。	그렇구나……. 그렇게까지 생각해주다니, 주인님에겐 과분하네.
んちゅ、ちゅぅ……！　んぷ、苦いのが出てる……ご主人様、ちゅるぅ、気持ち良い……？　私の口、れろぉ、じゅるるぅ……	……씁쓸한 게 나오고 있어…… 주인님……기분 좋아……? 내 입……
あぁ、気持ち良いよ……	아, 기분 좋아……
ふふ、良かった、じゅぷぅ……私のお口、もっと味わって……たくさんするから、はぅ、んちゅ、じゅぶぶぅ……	후후, 다행이야, …… 내 입, 좀 더 즐겨…… 많이 해줄테니까……
れるぅ、んぢゅ、じゅぶぶ、ごひゅじんひゃま、んぐちゅぅ、いつでもだして、わたしのくちにぃ、れるれろぉ、んちゅぷぅ……！	……주인님…… 언제든지 싸줘…… 내 입에……!
あつくてこいせいえき、じゅぶぅ、たくさんほしい、ちゅる、ぢゅるるぅ！　ごひゅじんひゃまの、ぜんぶぅ！	뜨겁고 진한 정액…… 잔뜩 갖고 싶어……! 주이니메 전부!
あまりに激しい奉仕に、怒張した俺のペニスがビクビクと脈打ち始める。	너무나도 격렬한 봉사에, 부풀어 오른 나의 페니스가 움찔움찔 맥박치기 시작한다.
んじゅぅ、イキそう、ごひゅじんひゃま？　れろぉ、じゅっ、じゅぶぶぅ！　えんりょしないでいいから、すきなときにイって、ちゅるぅ、んじゅぷぅ！	……갈 것 같아, 주인님? ……참지말고 마음대로 가도 돼……!
うぅ、んぷぅ……！？　んん、ちゅるぅ、じゅぷ……あついのが、たくさんでてる、はぅん……すごい、こんなに……	………… 뜨거운 게 잔뜩 나와…… 대단해, 이렇게나……
こくこく、んぅ……んく、精液どろどろで、はぅう……駄目、零したらもったいない……こくっ……	…… 정액이 질척질척해…… 안돼, 흘리면 아까워…………
精液を嚥下して喉を鳴らすその姿は、とても卑猥だった。	목에서 정액을 삼키는 소리를 내는 그 모습은 매우 음란했다.
ちゅぷ……気持ち良かった、ご主人様？　私の口……	…… 기분 좋았어, 주인님? 내 입……
あぁ、すごく良かったよ。	아아, 엄청 좋았어.
ふふ、嬉しい……。ご主人様の精液も、とても美味しかったわ。今、お腹の中熱くなってる……	후후, 기뻐……. 주인님의 정액도 엄청 맛있었어. 지금 뱃속이 뜨거워지고 있어……
そんな風に言われたら……早く続きがしたくなるな。	그런 식으로 말하면…… 빨리 그 다음을 하고 싶어지네.
嬉しいわ、ご主人様。……それじゃ、早く移動しましょう。そうしたら、たくさんご奉仕するわ。	기뻐, 주인님. …… 그럼 빨리 이동하자. 그러면 잔뜩 봉사할게.
先ほどまで俺のペニスを咥えていた唇で笑顔を見せる。	방금 전까지 나의 페니스를 물고 있던 입술로 웃는다.
その想像に、思わず我慢できなくなりそうだったので、急いで場所を移す事にしたのだった。	그렇게 상상하자 참지 못할 것 같아서, 서둘러 장소를 옮기기로 한 것이었다.
私、我慢できない……。いやらしいって思われてもいい……ご主人様、お願いがあるの。	나 못 참겠어……. 음란하다고 생각해도 좋아…… 주인님, 부탁이 있어.
今ここで……キスしていい？　ご主人様に……	지금 여기서…… 키스 해도 돼? 주인님에게……
あぁ、構わないけど。	아아, 상관없는데.
はぅ、んちゅぷぅ……好き、ご主人様ぁ……ちゅるぅ、もっと早くこうしたかった、ちゅっ、たくさんたくさん、ご主人様と、んん……！	…… 좋아해, 주인님…… 좀 더 빨리 이렇게 하고 싶었어…… 많이, 많이, 주인님이랑……!
潤んだその瞳には、俺が映っていた。	촉촉한 그 눈동자에 내가 비치고 있었다.
うぅ、キスだけじゃ物足りない……。もっとご主人様が欲しい……深いところまで、ご主人様が……	……키스만으로는 부족해……. 좀 더 주인님을 원해…… 깊은 곳까지 주인님이……
それってどういう事？　はっきり言ってくれないと、きちんと伝わらないな。	그건 무슨 말이야? 확실히 말하지 않으면 제대로 모르겠네.
ご主人様のが欲しいのよ……私の中に、ご主人様の大きいの感じたい……。今この場所で、セックスがしたいの……！	주인님의 거기를 갖고 싶어…… 내 안으로 주인님의 커다란 걸 느끼고 싶어……. 지금 여기서 섹스하고 싶어……!
はぁあ、あぁ……ご主人様、んくぅ……これ、これが欲しかった……んん、うぅ……ご主人様、好きぃ……！	하아, 아아…… 주인님…… 이걸, 이걸 갖고 싶었어…… …… 주인님 좋아……!
お、奥まで太いのが届いて、ぁああっ、んん……もっと速くしても大丈夫だから、ご主人様……はぁはぁ、あぅうん……	아, 안쪽까지 굵은 것이 닿고 있어…… 좀 더 빠르게 해도 괜찮으니까, 주인님…… ……
はぅうう！？　あぁ、んくぅ、ご主人様ぁ！　太いの擦れてる、うぅ、私の中ぁ……はぅう、んん！	……주인님! 굵은 걸로 쑤셔지고 있어……내 안…… !
き、気持ち良い、はぅう、ご主人様の事、大好きだから私ぃ、んん！　はぁはぁ、もっとたくさん、ご主人様を感じたい、あぁ、んくぅん！	기, 기분 좋아……주인님을 정말 좋아하니까, 나……! ……좀 더 잔뜩 주인님을 느끼고 싶어……!
駄目、私もう我慢できなくなりそう……！　あぅう、ひぃいん！　はぁ、んく、頭の中真っ白になる、気持ち良過ぎて、抑えられない……！	안돼, 나 이제 못 참겠어……! ……머릿속 하얘져, 기분 너무 좋아, 못 참겠어……!
そもそもこの場所でここまでする気もなかったけど……俺は勢いに任せて、激しく奥まで掻き回す。	원래 여기서 이렇게까지 할 생각은 없었지만…… 나는 기세를 타고 격렬하게 안쪽까지 휘젓는다.
んぅう、ぁあああっ！　いやらしい声、抑えられないぃ、んんぅ、ご主人様、好きぃ、大好きぃ！　うぅ、気持ち良過ぎて、蕩けそう……！	……야한 목소리, 못 참겠어…… 주인님, 좋아, 너무 좋아! ……기분 너무 좋아, 녹을 것 같아……!
あぁ、んくぅ！　ご、ご主人様ぁ！　中ヒクヒクして、私ぃ！　イク、もうイクぅ、ご主人様、はぅうう、ぁああああああっ……！	……주, 주인님! 안이 움찔움찔해, 나 가! 가버려, 이제 가버려, 주인님, 아아아아아아앗……!
んんん～～～～っ……！　あぁ、ご主人様のがたくさん……んぅ、中どろどろになってる、あぁ、はぅん……	…… 아아, 주인님의 것이 잔뜩…… 안이 질척질척거리고 있어……
はぁ、んぅ……ええ、私は大丈夫よ、ご主人様……熱くて濃いの、いっぱい出してくれて嬉しい、あぅん……	하아…… 응, 나는 괜찮아, 주인님…… 뜨겁고 진한 걸 잔뜩 싸줘서 기뻐……
うぅ、もう待ちきれない……ご主人様……私、お願いがあるの……	……이제 더는 못 기다리겠어…… 주인님…… 나, 부탁이 있어……
お願い？　これから夜伽をするのに、一体なに？	부탁? 지금부터 밤시중을 할 건데 도대체 뭐야?
私の事、苛めてほしい……。ご主人様ので、たくさん……	날 괴롭혀주면 좋겠어……. 주인님의 거기로 잔뜩……
苛めてほしい？　……どうして、それをこの場で言うの？	괴롭혀 달라고? …… 왜 그걸 여기서 말하는 거야?
俺の股間を前にして座り、苛めてほしいという……それはつまり……	나의 사타구니를 앞에 두고 앉아서 괴롭혀주면 좋겠다…… 그것은 즉……
ご主人様の、逞しいモノで……私の口に、お仕置きしてほしくて……。お願い、ご主人様……	주인님의 씩씩한 물건으로…… 내 입에 벌을 줬으면 해서……. 부탁해, 주인님……
わざと焦らすように、俺は意地悪な質問をした。	일부러 애가 타도록, 나는 심술궂은 질문을 했다.
それは……だって私、こんな場所で欲しがるような、へ、変態だから……ちゃんとご主人様に躾けてもらわないと……	그건…… 왜냐면 난 이런데서 하고 싶어 하는 벼, 변태니까…… 제대로 주인님이 길들여주지 않으면……
……そうか。それなら仕方ないな。	…… 그런가. 그럼 어쩔 수 없네.
んぷ、うぅ……！　はぐぅ、ごひゅじんひゃまの、おっきい、んん、うくぅ……あぅ、のどおくまで、とどいてる……ぁああっ、んぐぷぅ……	…… 주이니메꺼 커다래……  목 안쪽까지 닿고 있어…… ……
んぐぅ！？　うぅ、んぷぅ、うぐ！　は、はげひい、んん、んぐぷぅ、ごひゅじんひゃまに、たくさんおしおきれてぇ、うう、はぐぅう……！	……겨, 격렬해!…… 주이니메게 잔뜩 쑤셔져서……
くちのなか、んぅ、ごひゅじんひゃまのでみたされて、はぐぅ、んぷ、あたまぼうっとうする……あぐぅ！　んぷ、ぉおご、んん～～っ……！	입 안이 주이니메 거스로 가득차서……머리가 멍해져……!
